name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_epochs,w1_amplitude,w1_var_ratio,w1_mean_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_mean_power,w1_median_power,w1_period,w1_baseline,w1_sigp,w1_in_sigp,w1_brighter_sigp,w1_fainter_sigp,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_epochs,w2_amplitude,w2_var_ratio,w2_mean_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_mean_power,w2_median_power,w2_period,w2_baseline,w2_sigp,w2_in_sigp,w2_brighter_sigp,w2_fainter_sigp,delta_time,cadence,epochs,mean_offset,qual_flag,pmra,pmra_err,pmdec,pmdec_err,wiseview
1864946238115509376,J210014.87+320103.60,315.06198,0.29785,32.017692,0.29228,14.705,0.094,14.701,0.088,14.319,0.062,15.097,0.335,12.07,3.2,17.6,365,22,0.778,0.85,0.004,0.509,0.001,12.76,0.0781563178294905,0.0059299491866977,0.0045381497036126,0.0294194022636752,14.643,0.094,49.2,11.17,36.7,14.643,0.293,14.638,0.289,13.767,0.154,15.421,0.542,3.763,0.1,7.1,375,22,1.654,0.92,0.005,0.473,0.002,12.41,0.0820792877373966,0.0063812017023795,0.0048579207336381,0.0219264453849787,14.634,0.268,67.29,16.22,16.22,4913.603,0.066,22,0.3767731573827545,BB,9.415389126597596,0.12066218,14.820082721458366,0.15210274,http://byw.tools/wiseview#ra=315.0619716&dec=32.0176676&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1837948790953103232,J210034.73+212257.51,315.144778,0.183954,21.382665,0.179285,14.229,0.064,14.254,0.062,13.737,0.034,14.656,0.121,17.478,9.0,32.2,288,22,0.919,0.58,-0.025,0.437,0.0,16.87,0.2478905209914994,0.0091464191909521,0.0056933121792584,0.0218563894391652,14.252,0.07,50.83,24.25,20.6,13.568,0.125,13.615,0.12,12.617,0.05,14.244,0.357,9.552,1.1,21.7,300,22,1.627,0.55,-0.047,0.387,0.0,13.14,0.3452100764842018,0.014632377082928,0.0051391879469115,0.064300871777322,13.675,0.119,47.84,40.2,11.63,4913.712,0.066,22,0.2732655864955702,BB,73.79165335794843,0.043706458,38.3508632482674,0.036573138,http://byw.tools/wiseview#ra=315.1446954&dec=21.3826416&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1871365152650081536,J210036.20+364735.58,315.150852,0.414334,36.793209,0.400411,15.108,0.126,15.094,0.122,14.45,0.071,15.632,0.262,8.981,4.1,15.3,353,22,1.182,0.86,0.014,0.455,0.007,9.87,0.0715239034359648,0.006965858165828,0.0053882077270716,0.0126668052051438,15.052,0.124,51.55,14.08,33.8,14.856,0.352,14.846,0.352,13.96,0.174,15.72,0.537,2.604,-0.5,6.3,355,22,1.76,0.8,0.01,0.497,0.0,13.06,0.106849623376722,0.0077294841673662,0.0057817062994036,0.0133125743938768,14.802,0.319,70.14,10.7,19.15,4913.669,0.066,22,0.4982086029303427,BB,-7.286107778776138,0.060749333,-4.597227315232737,0.07226567,http://byw.tools/wiseview#ra=315.1508315&dec=36.7932154&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
6917033354059368448,J210056.13-013849.67,315.23393,0.092707,-1.647108,0.090932,13.023,0.034,13.018,0.033,12.879,0.027,13.15,0.052,32.303,20.8,39.8,296,22,0.271,0.77,0.005,0.487,0.001,13.16,0.0942895774722403,0.0068586466807476,0.0051958353434299,0.0119878744292752,13.007,0.04,64.67,7.0,27.0,12.903,0.074,12.903,0.07,12.615,0.054,13.15,0.182,15.112,1.8,20.2,296,22,0.535,0.95,0.0,0.462,0.008,10.96,0.0786552947725928,0.0068907713365207,0.0052858537463275,0.0517100372391607,12.888,0.078,68.0,11.67,19.0,4916.2,0.129,22,0.136500830088554,BB,47.06219728778333,0.5987049,34.630209118731976,0.53896886,http://byw.tools/wiseview#ra=315.2338842&dec=-1.6471301&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
6478328218869704192,J210104.73-490627.80,315.269396,0.124711,-49.107881,0.123501,13.585,0.044,13.582,0.042,13.448,0.035,13.741,0.073,25.324,14.9,31.3,321,22,0.293,0.88,0.003,0.543,0.0,16.55,0.1122165962045389,0.0063991843499194,0.0047566052394213,0.0218780594407586,13.58,0.05,66.97,12.61,16.82,13.59,0.125,13.592,0.116,13.212,0.071,13.991,0.473,9.334,2.3,15.2,322,22,0.779,0.84,-0.002,0.512,0.004,10.93,0.0810940399806338,0.0071280775633048,0.0054570107081394,0.6861495269392102,13.587,0.121,60.96,16.82,18.92,4913.949,0.066,22,0.1994755859549233,BB,-287.01602223020484,0.026384274,-226.3762754128716,0.027969966,http://byw.tools/wiseview#ra=315.2696897&dec=-49.1077212&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1844449451587618688,J210136.04+255442.71,315.400204,0.182884,25.91186,0.180219,14.085,0.059,14.086,0.057,13.858,0.045,14.304,0.095,18.718,11.4,23.9,337,22,0.446,0.78,-0.001,0.489,0.0,16.02,0.1053416259278281,0.0062456923841351,0.0046641675656988,0.0218909623489318,14.089,0.064,66.37,16.08,16.08,14.175,0.197,14.142,0.179,13.489,0.115,14.751,0.523,5.935,1.1,9.5,337,22,1.262,0.98,0.033,0.483,0.001,12.92,0.0829121291395427,0.0061936668830543,0.0047159257226105,0.0151713733718129,14.135,0.186,64.33,11.4,22.81,4913.664,0.066,22,0.2793854293939005,BB,10.522861615385896,0.56983864,11.012983579166155,0.5264322,http://byw.tools/wiseview#ra=315.4001831&dec=25.911865&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
6479860113444922368,J210222.37-482748.43,315.593344,0.259604,-48.463399,0.254097,14.613,0.083,14.602,0.078,14.37,0.062,14.902,0.16,13.47,6.8,17.4,318,22,0.532,0.89,0.011,0.564,0.0,13.23,0.0911441120216149,0.006575225398638,0.0049908645587734,0.1872028606195031,14.583,0.089,65.83,10.34,23.51,14.713,0.309,14.716,0.305,13.761,0.144,15.429,0.54,3.489,-10.5,7.5,318,22,1.668,0.9,-0.003,0.427,0.01,9.9,0.0854680311760194,0.0083776929515919,0.0064904902891302,0.0100087773976419,14.719,0.283,72.41,12.85,14.42,4914.07,0.066,22,0.3331403874342155,BB,96.19068687499772,0.029084003,69.10476676018305,0.027234599,http://byw.tools/wiseview#ra=315.5932132&dec=-48.4634533&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1864763547395571328,J210256.24+314811.24,315.734356,0.362026,31.80312,0.348091,14.996,0.112,14.995,0.108,14.606,0.07,15.444,0.242,10.089,4.5,15.5,334,22,0.838,0.95,0.001,0.536,0.001,11.81,0.0806837587910871,0.006655272649059,0.0051269250324459,0.0491977740312969,15.005,0.115,53.8,25.15,18.71,14.83,0.346,14.847,0.346,14.127,0.156,15.524,0.54,2.805,-0.8,7.0,342,22,1.397,0.97,-0.017,0.485,0.004,11.41,0.0980593589918503,0.0081239776184682,0.0061107019992062,0.0962066927729825,14.894,0.312,69.3,20.47,10.23,4913.591,0.066,22,0.4330437994090356,BB,-3.060519497228294,0.44954655,-4.56113034603611,0.463264,http://byw.tools/wiseview#ra=315.7343505&dec=31.8031229&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2269856101013785856,J210256.83+670233.71,315.73681,0.441649,67.042696,0.392802,15.216,0.132,15.205,0.125,14.501,0.041,15.744,0.45,8.666,2.4,26.2,638,23,1.243,0.94,0.011,0.434,0.007,13.03,0.0503530593606065,0.0037680818819803,0.0028963592850057,0.0551360848670608,15.158,0.134,52.46,14.0,31.69,14.905,0.346,14.903,0.346,13.85,0.16,15.689,0.542,2.878,-45.2,6.8,650,23,1.839,0.83,0.002,0.427,0.002,12.63,0.0538436390778374,0.0041454735372141,0.0031880425903042,0.0819020792283621,14.931,0.332,72.0,16.0,12.0,4937.195,0.066,23,0.4641528459341496,BB,12.709941929574269,0.31540605,5.653563667080184,0.279363,http://byw.tools/wiseview#ra=315.7367862&dec=67.0426968&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
6774392546650858624,J210314.48-380943.41,315.810293,0.354727,-38.162099,0.356218,14.994,0.111,14.977,0.107,14.615,0.079,15.378,0.194,10.113,5.6,13.7,289,22,0.763,0.89,0.017,0.526,0.017,10.64,0.0750546478271371,0.0068522692800151,0.0053220017137305,0.103784895893987,14.927,0.115,61.38,6.9,31.38,14.829,0.352,14.819,0.352,14.011,0.176,15.703,0.542,2.678,-4.5,6.2,289,22,1.692,0.85,0.01,0.522,0.0,11.4,0.0980411221381353,0.0082738653158825,0.0063225327729614,0.0432221909563194,14.777,0.312,67.59,11.38,20.69,4913.868,0.13,22,0.4557973357779751,BB,-31.767596932810665,0.05170967,-58.89385772480251,0.043995067,http://byw.tools/wiseview#ra=315.8103211&dec=-38.1620594&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
